id_groupe,moyenne_comments,moyenne_comments,moyenne_shares
https://www.facebook.com/groups/119320465284777,6.7857,6.7857,1.1071
https://www.facebook.com/groups/114434322224694,3.8,3.8,1.45
https://www.facebook.com/groups/1093010917441192,3.5417,3.5417,0.2083
https://www.facebook.com/groups/1063877606962951,3,3,0
https://www.facebook.com/groups/1054405138281050,1.5714,1.5714,1.8571
https://www.facebook.com/groups/105173838171,3,3,0.8421
https://www.facebook.com/groups/1038481196624405,1.3333,1.3333,1
https://www.facebook.com/groups/101964846512805,5.6471,5.6471,0
https://www.facebook.com/groups/1010184046117378,3.4,3.4,0.6
https://www.facebook.com/groups/1007829165921329,0.3636,0.3636,23
https://www.facebook.com/groups/1002180589859161,0.1364,0.1364,20.9091
https://www.facebook.com/groups/09ybe,0.0645,0.0645,21.5161
