id_groupe,moyenne_likes,moyenne_comments,moyenne_shares
https://www.facebook.com/groups/119320465284777,2.8571,6.7857,1.1071
https://www.facebook.com/groups/114434322224694,4.2,3.8,1.45
https://www.facebook.com/groups/1093010917441192,2.3333,3.5417,0.2083
https://www.facebook.com/groups/1063877606962951,4.6667,3,0
https://www.facebook.com/groups/1054405138281050,2.8571,1.5714,1.8571
https://www.facebook.com/groups/105173838171,9.6842,3,0.8421
https://www.facebook.com/groups/1038481196624405,2.1667,1.3333,1
https://www.facebook.com/groups/101964846512805,3.5294,5.6471,0
https://www.facebook.com/groups/1010184046117378,6,3.4,0.6
https://www.facebook.com/groups/1007829165921329,1.6591,0.3636,23
https://www.facebook.com/groups/1002180589859161,0.0909,0.1364,20.9091
https://www.facebook.com/groups/09ybe,2.9516,0.0645,21.5161
