id_post_groupe,moyenne_likes,moyenne_comments,moyenne_shares
https://www.facebook.com/groups/355246927922355/posts/4090239497756394,1,1,5
https://www.facebook.com/groups/119320465284777/posts/921090591774423,0,4,0
https://www.facebook.com/groups/119320465284777/posts/921086795108136,0,4,0
https://www.facebook.com/groups/119320465284777/posts/921070731776409,8,5,11
https://www.facebook.com/groups/119320465284777/posts/921045975112218,3,7,0
https://www.facebook.com/groups/119320465284777/posts/921005965116219,4,5,4
https://www.facebook.com/groups/119320465284777/posts/920489045167911,4,9,1
https://www.facebook.com/groups/119320465284777/posts/920413955175420,2,8,0
https://www.facebook.com/groups/119320465284777/posts/920273125189503,1,1,0
https://www.facebook.com/groups/119320465284777/posts/920222021861280,1,1,0
https://www.facebook.com/groups/119320465284777/posts/920203211863161,2,22,0
https://www.facebook.com/groups/119320465284777/posts/919944825222333,3,1,3
https://www.facebook.com/groups/119320465284777/posts/919940111889471,0,3,0
https://www.facebook.com/groups/119320465284777/posts/919852335231582,3,17,0
https://www.facebook.com/groups/119320465284777/posts/919831255233690,1,1,0
https://www.facebook.com/groups/119320465284777/posts/919729301910552,2,11,0
https://www.facebook.com/groups/119320465284777/posts/919632015253614,4,18,0
https://www.facebook.com/groups/119320465284777/posts/919492901934192,10,4,1
https://www.facebook.com/groups/119320465284777/posts/919394951943987,2,1,1
https://www.facebook.com/groups/119320465284777/posts/919281295288686,10,4,2
https://www.facebook.com/groups/119320465284777/posts/918768615339954,4,12,4
https://www.facebook.com/groups/119320465284777/posts/918488182034664,0,3,0
https://www.facebook.com/groups/119320465284777/posts/918483548701794,0,3,1
https://www.facebook.com/groups/119320465284777/posts/918417342041748,1,9,0
https://www.facebook.com/groups/119320465284777/posts/917517162131766,1,2,0
https://www.facebook.com/groups/119320465284777/posts/917211028829046,3,3,3
https://www.facebook.com/groups/119320465284777/posts/908235273059955,3,13,0
https://www.facebook.com/groups/119320465284777/posts/898521474031335,7,8,0
https://www.facebook.com/groups/119320465284777/posts/849563325593817,1,11,0
https://www.facebook.com/groups/114434322224694/posts/1500543226947123,0,1,0
https://www.facebook.com/groups/114434322224694/posts/1500111153656997,10,1,1
https://www.facebook.com/groups/114434322224694/posts/1499990277002418,2,5,0
https://www.facebook.com/groups/114434322224694/posts/1499968010337978,0,9,0
https://www.facebook.com/groups/114434322224694/posts/1499925677008878,1,8,0
https://www.facebook.com/groups/114434322224694/posts/1499916490343130,6,1,2
https://www.facebook.com/groups/114434322224694/posts/1499837593684353,1,2,0
https://www.facebook.com/groups/114434322224694/posts/1499557750379004,1,2,4
https://www.facebook.com/groups/114434322224694/posts/1499397550395024,2,2,0
https://www.facebook.com/groups/114434322224694/posts/1499376347063811,10,4,2
https://www.facebook.com/groups/114434322224694/posts/1499343953733717,1,2,0
https://www.facebook.com/groups/114434322224694/posts/1499269140407865,2,1,0
https://www.facebook.com/groups/114434322224694/posts/1499256253742487,1,1,1
https://www.facebook.com/groups/114434322224694/posts/1499073310427448,8,3,12
https://www.facebook.com/groups/114434322224694/posts/1498815563786556,0,1,0
https://www.facebook.com/groups/114434322224694/posts/1498803557121090,0,4,1
https://www.facebook.com/groups/114434322224694/posts/1498766947124751,10,4,4
https://www.facebook.com/groups/114434322224694/posts/1498616923806420,9,1,1
https://www.facebook.com/groups/114434322224694/posts/1498481683819944,10,4,1
https://www.facebook.com/groups/114434322224694/posts/1496318084036304,10,20,0
https://www.facebook.com/groups/1093010917441192/posts/4214218461987073,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4209827202426199,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4202660686476184,0,4,0
https://www.facebook.com/groups/1093010917441192/posts/4192282137514039,1,0,0
https://www.facebook.com/groups/1093010917441192/posts/4188333694575550,0,1,0
https://www.facebook.com/groups/1093010917441192/posts/4185461218196131,3,2,0
https://www.facebook.com/groups/1093010917441192/posts/4181338795275040,2,1,0
https://www.facebook.com/groups/1093010917441192/posts/4169436216465298,2,8,0
https://www.facebook.com/groups/1093010917441192/posts/4166314373444149,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4159090347499885,1,2,0
https://www.facebook.com/groups/1093010917441192/posts/4158183834257203,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4140174866058100,0,1,0
https://www.facebook.com/groups/1093010917441192/posts/4139964892745764,0,1,0
https://www.facebook.com/groups/1093010917441192/posts/4139795236096063,1,1,0
https://www.facebook.com/groups/1093010917441192/posts/4137390759669844,10,13,0
https://www.facebook.com/groups/1093010917441192/posts/4135500153192238,0,1,0
https://www.facebook.com/groups/1093010917441192/posts/4134998286575758,3,5,0
https://www.facebook.com/groups/1093010917441192/posts/4114248498650737,8,12,0
https://www.facebook.com/groups/1093010917441192/posts/4034417739967147,4,4,0
