POSTE;DATE;RR;TN;TX;FXY;DXY;GLOT;NEIG;BROU;ORAG
31069001;19710101;0,4;-9,3;-1,9;;;;1;0;0
31069001;19710102;0,1;-12,4;-0,2;;;;1;0;0
31069001;19710103;0;-6,4;4,1;;;;1;0;0
31069001;19710104;0;-10;1;;;;0;1;0
31069001;19710105;6,4;-11,7;8;;;;1;1;0
31069001;19710106;1;0,8;11,7;;;;0;1;0
31069001;19710107;0;-0,1;10,4;;;;0;1;0
31069001;19710108;0;4,6;10,9;;;;0;0;0
31069001;19710109;0;-0,8;10,2;;;;0;1;0
31069001;19710110;0;-3,1;14,9;;;;0;1;0
31069001;19710111;0;3,8;12,7;;;;0;0;0
31069001;19710112;1,8;8;12,1;;;;0;0;0
31069001;19710113;2,2;4,8;12,2;;;;0;0;0
31069001;19710114;5,1;6,5;12,1;;;;0;0;0
31069001;19710115;1,7;4,4;10,9;;;;0;0;0
31069001;19710116;0;5,5;10,4;;;;0;0;0
31069001;19710117;0;-0,1;9,8;;;;0;0;0
31069001;19710118;6,4;2,9;12;;;;0;0;0
31069001;19710119;16,8;7;12,6;;;;0;0;0
31069001;19710120;1,3;6,3;12,2;;;;0;0;0
31069001;19710121;9,3;4,8;9,5;;;;0;0;0
31069001;19710122;6;2,8;8,3;;;;0;0;0
31069001;19710123;7,9;3,7;13,3;;;;0;0;0
31069001;19710124;1;6,6;13,7;;;;0;0;0
31069001;19710125;5,3;6,6;14,8;;;;0;0;0
31069001;19710126;1,6;3,6;13,8;;;;0;0;0
31069001;19710127;5,8;5,9;10,9;;;;0;0;0
31069001;19710128;0;3,9;11,2;;;;0;0;0
31069001;19710129;0;4;12,5;;;;0;0;0
31069001;19710130;15;6,4;14,6;;;;0;0;0
31069001;19710131;3,8;3,5;6,7;;;;0;0;0
31069001;19710201;5,7;2,3;5,2;;;;0;0;0
31069001;19710202;0;1,3;3,2;;;;0;0;0
31069001;19710203;0;-4,4;3,3;;;;0;0;0
31069001;19710204;0;-1;8,9;;;;0;0;0
31069001;19710205;0;-1,5;11,2;;;;0;1;0
31069001;19710206;0;-3;11,1;;;;0;1;0
31069001;19710207;0;-1,9;7;;;;0;1;0
31069001;19710208;0;-0,6;2;;;;0;1;0
31069001;19710209;0;-2,1;6,1;;;;0;0;0
31069001;19710210;0;-1,2;10,3;;;;0;1;0
31069001;19710211;0;0,3;13,9;;;;0;1;0
31069001;19710212;0;1,4;14,4;;;;0;1;0
31069001;19710213;1,1;-1;13,5;;;;0;0;0
31069001;19710214;0;4,7;10,9;;;;0;0;0
31069001;19710215;4,8;0,6;11;;;;0;0;0
31069001;19710216;8,1;1,8;7,3;;;;;0;0
31069001;19710217;18;4,3;11,4;;;;0;0;0
31069001;19710218;17,5;7;9,8;;;;0;0;0
31069001;19710219;9;5,3;9,9;;;;0;0;0
31069001;19710220;3,9;5,7;11,6;;;;0;0;0
31069001;19710221;1,7;6,6;14;;;;0;0;0
31069001;19710222;0;3,9;10,3;;;;0;0;0
31069001;19710223;0;-0,1;9,9;;;;0;0;0
31069001;19710224;0;-0,4;10,3;;;;0;0;0
31069001;19710225;0;-0,2;6,9;;;;0;0;0
31069001;19710226;0;-0,7;11,2;;;;0;0;0
31069001;19710227;0;-2,3;13,1;;;;0;0;0
31069001;19710228;0,2;4,2;6,4;;;;0;0;0
31069001;19710301;0;-4,2;7,2;;;;0;0;0
31069001;19710302;0,6;-5,8;5,8;;;;1;0;0
31069001;19710303;2,5;1;5,9;;;;0;0;0
31069001;19710304;0;1;4,1;;;;0;0;0
31069001;19710305;0;-6,2;-0,8;;;;0;0;0
31069001;19710306;0,6;-7,7;1,4;;;;1;0;0
31069001;19710307;0;-5,6;0,6;;;;;0;0
31069001;19710308;0;-8;4,4;;;;0;0;0
31069001;19710309;0;-6,1;7;;;;0;0;0
31069001;19710310;0;-1;7;;;;0;0;0
31069001;19710311;0;0,7;10;;;;0;1;0
31069001;19710312;0;-3,6;15,3;;;;0;0;0
31069001;19710313;4,6;0,7;12,9;;;;0;0;0
31069001;19710314;4,1;7,8;10,8;;;;0;0;0
31069001;19710315;4,6;4,6;10,7;;;;0;0;0
31069001;19710316;2,5;3,9;13,6;;;;0;0;0
31069001;19710317;0,6;7;14,4;;;;0;0;0
31069001;19710318;1,9;8,8;17,2;;;;0;0;1
31069001;19710319;0,5;4;12,4;;;;0;0;0
31069001;19710320;3,8;3,5;7,7;;;;0;0;0
31069001;19710321;4,3;3,9;10;;;;0;0;0
31069001;19710322;42,2;5;6,4;;;;0;0;0
31069001;19710323;0,1;4,6;8,1;;;;0;0;0
31069001;19710324;0;0,6;12;;;;0;0;0
31069001;19710325;0,1;-0,1;14,8;;;;0;0;0
31069001;19710326;10,1;6,6;12,1;;;;0;0;0
31069001;19710327;0,9;4,6;10,1;;;;0;0;0
31069001;19710328;0;2,3;9,1;;;;0;0;0
31069001;19710329;0;-0,1;13;;;;0;0;0
31069001;19710330;0;-0,6;15,8;;;;0;0;0
31069001;19710331;0;9;14;;;;0;0;0
31069001;19710401;0;3,8;17,2;;;;0;0;0
31069001;19710402;0;2,1;17,6;;;;0;0;0
31069001;19710403;21,7;8;16,9;;;;0;0;1
31069001;19710404;0;4,5;18,1;;;;0;0;1
31069001;19710405;4,5;5,9;12,6;;;;0;1;0
31069001;19710406;0;3,9;18,5;;;;0;0;0
31069001;19710407;0;10,4;15;;;;0;0;0
31069001;19710408;0;11,9;17,1;;;;0;0;0
31069001;19710409;3,5;8,9;17,7;;;;0;0;0
31069001;19710410;0;10,2;13,2;;;;0;0;0
31069001;19710411;0;10,6;13,2;;;;0;1;0
31069001;19710412;0;6,4;23,1;;;;0;1;0
