JJ O3o O3p TEMPE RMH2O NO2 STATION FF
F 91 93.2 21.5 0.00847 1.602 Aix 9.5
F 100 104.6 20.2 0.00881 2.121 Aix 8.01
S 82 103.6 17.4 0.00951 1.657 Aix 9.3771
S 94 94.8 18.8 0.00855 2.35 Aix 9.4578
S 107 99 23.7 0.00731 1.653 Aix 7.8791
S 150 114.3 23.6 0.01182 5.316 Aix 6.3127
S 164 127.7 26.6 0.00937 2.841 Aix 4.8042
F 135 164.3 23.5 0.01087 15.733 Aix 4.8795
F 121 144.1 23.3 0.01168 8.807 Aix 5.1088
S 129 112.8 23.7 0.01091 18.911 Aix 5.4406
S 118 72.6 22.2 0.01626 4.258 Aix 5.9641
S 48 146 14.3 0.01453 13.664 Aix 5.8034
S 97 87.5 18.5 0.00959 4.126 Aix 7.5273
F 83 158.9 15.4 0.01456 10.254 Aix 2.5942
F 73 112.6 19.6 0.0122 1.955 Aix 8.8752
S 91 76.9 21.7 0.00685 1.382 Aix 12.3004
S 70 81.8 24.4 0.0089 1.567 Aix 9.5
S 125 178.6 24.8 0.01206 8.216 Aix 6.5192
S 168 127.9 28.2 0.01387 4.632 Aix 7.1309
S 113 109.3 26 0.0122 12.29 Aix 5.9816
F 118 113 26.2 0.01064 4.615 Aix 6.2769
F 130 136.3 27.2 0.00912 4.276 Aix 6.0033
S 179 141.1 27.8 0.0101 7.656 Aix 5.1313
S 196 131.4 29.1 0.00919 5.208 Aix 6.0902
S 160 141.1 29.5 0.01033 5.043 Aix 6.1221
S 180 163.6 29.5 0.00789 8.52 Aix 5.5227
S 103 141.6 29.1 0.00663 6.654 Aix 5.2839
F 214 159.9 33.2 0.01431 4.122 Aix 7.2615
F 178 138.1 30.5 0.01509 6.835 Aix 6.0877
S 160 155.1 30.9 0.01526 2.489 Aix 7.2422
S 131 140.5 30.2 0.00877 3.026 Aix 9
S 169 149.9 30.2 0.01134 2.198 Aix 5.7801
S 139 92.5 26 0.01426 23.822 Aix 5.36
S 104 97.9 25.4 0.00884 1.816 Aix 12.3907
F 127 96.1 26.2 0.00712 1.78 Aix 6.2266
F 163 123.7 25.4 0.01058 2.701 Aix 6.3008
S 121 146.2 23.3 0.01343 18.234 Aix 4.7854
S 93 126.1 26.6 0.01217 3.187 Aix 6.0133
S 108 122.4 22.1 0.01872 8.698 Aix 6.4444
S 91 99.7 24.7 0.00754 2.109 Aix 11.2058
S 129 122.4 24.5 0.00921 5.359 Aix 6.9354
F 89 146.5 24.9 0.01134 2.336 Aix 6.5765
F 145 145.2 28.1 0.01342 4.691 Aix 7.4653
S 124 127.3 28 0.01123 6.486 Aix 7.1344
S 132 125.9 26.9 0.01173 9.414 Aix 6.2936
S 96 183.4 26.3 0.01483 4.334 Aix 5.4452
S 116 117 28.9 0.01007 2.743 Aix 6.36
S 132 128.4 30 0.01023 2.81 Aix 6.562
F 93 74.1 24.9 0.00984 1.045 Aix 9.426
S 117 159.1 20.1 0.01962 3.127 Aix 5.4626
S 96 143.3 23.7 0.01534 2.125 Aix 12.1017
S 111 119.9 28.4 0.01138 1.823 Aix 10.6042
S 184 168.5 29 0.009 3.827 Aix 6.7119
F 170 133.4 28.3 0.01188 4.647 Aix 6.7231
F 148 125.6 28.5 0.01537 11.48 Aix 4.6615
S 109 154.3 31.1 0.00833 3.415 Aix 5.8669
S 222 133.9 29.5 0.01456 3.339 Aix 5.7079
S 80 72.6 27.6 0.01205 1.051 Aix 12.4483
S 108 105.7 25.8 0.01035 1.704 Aix 12.5607
S 156 137.1 28.6 0.01256 2.686 Aix 5.5731
F 126 136.8 27.1 0.0138 7.755 Aix 6.2968
F 130 150.6 26.6 0.01577 4.65 Aix 5.6851
S 182 229.2 22.1 0.02486 18.303 Aix 5.0931
S 107 147.6 24.7 0.01716 6.163 Aix 5.4818
S 148 155.2 30 0.01172 5.587 Aix 6.044
F 171 163.9 30.3 0.01441 7.945 Aix 6.162
S 157 148.5 32.2 0.01424 4.842 Aix 6.5947
S 181 146.6 32.7 0.01151 5.193 Aix 7.0831
S 155 157.5 32.2 0.0179 5.705 Aix 5.7689
S 191 149.6 31.8 0.0152 7.863 Aix 6.3702
F 202 143.2 32.5 0.01549 4.628 Aix 7.161
F 176 128.5 31.6 0.01332 4.274 Aix 7.1028
S 183 184 32.8 0.01814 4.56 Aix 7.4404
S 255 191.2 34.1 0.01693 10.559 Aix 7.0725
S 185 176.9 32.6 0.02004 10.608 Aix 7.2863
S 193 207.7 32.5 0.01941 8.263 Aix 6.7417
F 197 205.9 32.1 0.01722 7.736 Aix 6.5307
S 136 126.1 32.5 0.01247 1.968 Aix 7.9076
F 141 91.8 23.3 0.00714 13.654 Aix 6.0803
S 103 130 25.1 0.00431 6.631 Aix 6.1033
S 90 95.8 21.1 0.00442 2.756 Aix 8.6833
F 91 121.5 18 0.00558 3.785 Aix 12.5495
S 93 110.1 19.8 0.00373 4.416 Aix 7.3055
S 93 163.1 19 0.0069 30.934 Aix 3.9319
S 119 119.4 20.9 0.00414 4.848 Aix 4.3463
S 124 129.6 22 0.00569 2.584 Aix 7.518
F 87 102.5 18.9 0.00956 4.836 Aix 5.3535
F 107 116.9 20 0.00637 6.632 Aix 6.3789
S 106 81.4 14.5 0.00969 22.496 Aix 0.9434
S 77 122 16 0.01097 4.776 Aix 3.9205
S 82 101 15.6 0.00599 3.834 Aix 11.9808
S 93 131.5 22.9 0.00404 5.167 Aix 5.9464
S 117 118.1 21.6 0.0065 19.528 Aix 6.4382
F 115 93.4 22 0.00555 12.768 Aix 6.1294
F 117 134.9 23.2 0.0054 2.606 Aix 4.826
S 87 102 20.5 0.00635 2.886 Aix 11.6825
S 111 117.9 24 0.00669 4.662 Aix 6.0166
S 116 169.5 24.8 0.0119 11.374 Aix 4.7011
S 144 190.1 24.5 0.01167 7.578 Aix 5.0567
S 155 150.8 25.3 0.01021 9.947 Aix 5.5866
F 183 155.1 25.1 0.01015 5.715 Aix 5.7585
F 134 158 25.5 0.01045 6.063 Aix 5.0606
S 82 115.9 27.3 0.01517 2.534 Aix 9.6177
S 90 106.7 24.3 0.01129 5.547 Aix 5.0912
S 151 148.9 25 0.0095 4.297 Aix 5.101
S 188 167.8 24 0.01242 3.99 Aix 2.8071
S 142 170 24.9 0.01156 3.398 Aix 4.4598
F 85 127.8 26.3 0.00439 2.868 Aix 7.4404
F 90 94.9 25.5 0.00407 3.212 Aix 10.3856
S 68 101.6 25.4 0.00597 3.125 Aix 11.7456
S 98 123.6 19.5 0.00778 6.765 Aix 7.0292
S 111 106.3 21.9 0.00495 3.546 Aix 5.8189
S 131 145 20.2 0.00686 5.6 Aix 6.6129
F 102 132.8 20 0.00772 10.051 Aix 6.0877
F 112 122.4 21.8 0.00688 6.876 Aix 6.2097
S 104 137.2 25 0.00809 4.961 Aix 6.691
S 109 156.4 25.7 0.00717 4.264 Aix 6.0415
S 117 124.2 28.5 0.00827 2.455 Aix 6.7417
S 139 178.4 29.3 0.00922 3.877 Aix 6.5307
F 229 173.2 28.6 0.00977 5.366 Aix 5.6436
S 169 194.6 27.5 0.01235 4.596 Aix 4.3863
S 122 177.1 29.3 0.01167 4.776 Aix 5.8669
S 163 188.8 27.3 0.01504 4.38 Aix 1.5811
S 123 163.7 27.6 0.01125 8.893 Aix 4.3417
S 116 153.5 28.2 0.01078 14.289 Aix 6.7201
F 117 152 28.4 0.00954 11.102 Aix 6.229
F 118 160.1 30.3 0.00878 7.62 Aix 6.3253
S 115 165.8 31.1 0.0083 8.147 Aix 6.49
S 97 141.2 30.8 0.00924 9.569 Aix 6.825
S 82 146.8 27.1 0.01244 7.886 Aix 6.1522
